target_uid,name,mandate_start,mandate_end,sycomore_fid,source_url,retrieved
PA719968,Sylvie Bonnet,2024-07-08,,19869,https://www2.assemblee-nationale.fr/sycomore/fiche/19869,2026-09-13
PA720022,Michel Lauzzana,2024-07-08,,19231,https://www2.assemblee-nationale.fr/sycomore/fiche/19231,2026-09-13
PA720038,Sandrine Josso,2024-07-08,,19205,https://www2.assemblee-nationale.fr/sycomore/fiche/19205,2026-09-13
PA720092,Richard Ramos,2024-07-08,,19348,https://www2.assemblee-nationale.fr/sycomore/fiche/19348,2026-09-13
PA720100,Aurélien Pradié,2024-07-08,,19341,https://www2.assemblee-nationale.fr/sycomore/fiche/19341,2026-09-13
PA720138,Laetitia Saint-Paul,2024-07-08,,19372,https://www2.assemblee-nationale.fr/sycomore/fiche/19372,2026-09-13
PA720146,Denis Masséglia,2024-07-08,,19269,https://www2.assemblee-nationale.fr/sycomore/fiche/19269,2026-09-13
PA720154,Nicole Dubré-Chirat,2024-07-08,,19131,https://www2.assemblee-nationale.fr/sycomore/fiche/19131,2026-09-13
PA720190,Bertrand Sorre,2024-07-08,,19384,https://www2.assemblee-nationale.fr/sycomore/fiche/19384,2026-09-13
PA720230,Lise Magnier,2024-07-08,,19259,https://www2.assemblee-nationale.fr/sycomore/fiche/19259,2026-09-13
PA720256,Géraldine Bannier,2024-07-08,,19024,https://www2.assemblee-nationale.fr/sycomore/fiche/19024,2026-09-13
PA720334,Jimmy Pahun,2024-07-08,,19309,https://www2.assemblee-nationale.fr/sycomore/fiche/19309,2026-09-13
PA720342,Nicole Le Peih,2024-07-08,,19248,https://www2.assemblee-nationale.fr/sycomore/fiche/19248,2026-09-13
PA720354,Jean-Michel Jacques,2024-07-08,,19199,https://www2.assemblee-nationale.fr/sycomore/fiche/19199,2026-09-13
PA720362,Belkhir Belhaddad,2024-07-08,,19034,https://www2.assemblee-nationale.fr/sycomore/fiche/19034,2026-09-13
PA720370,Ludovic Mendes,2024-07-08,,19280,https://www2.assemblee-nationale.fr/sycomore/fiche/19280,2026-09-13
PA720390,Jérôme End,2026-04-21,,20068,https://www2.assemblee-nationale.fr/sycomore/fiche/20068,2026-09-13
PA720430,Ugo Bernalicis,2024-07-08,,19037,https://www2.assemblee-nationale.fr/sycomore/fiche/19037,2026-09-13
PA720446,Brigitte Liso,2024-07-08,,19254,https://www2.assemblee-nationale.fr/sycomore/fiche/19254,2026-09-13
